# Golden output: X  Y  Z  Doppler  SNR
# 50 points
0.0000000000  0.0000000000  0.0000000000  0.0000000000  5.0000000000
3.0338976103  3.1729426862  0.0000000000  0.0000000000  10.0000000000
-3.0338976103  3.1729426862  0.0000000000  0.0000000000  15.0000000000
0.0000000000  3.1729426862  3.0338976103  0.0000000000  20.0000000000
0.0000000000  3.1729426862  -3.0338976103  0.0000000000  25.0000000000
-0.0000000000  -1.5761223675  4.0973086633  0.0000000000  30.0000000000
-0.0000000000  -1.6384613607  -4.0727809135  0.0000000000  35.0000000000
7.3507931125  -2.8276486824  3.8805468102  0.0000000000  40.0000000000
-7.3067890041  -2.9394882043  -3.8805468102  0.0000000000  45.0000000000
1.8188232931  1.2287826611  0.0000000000  4.1400000000  50.0000000000
-1.7300470160  4.7251037959  3.7536447262  -6.2514000000  33.0000000000
-2.0444058695  1.6212081124  -0.3606173828  6.5826000000  20.5000000000
0.8309277308  6.7725729503  3.6247857452  7.7418000000  51.5000000000
-0.5346899576  1.0065091056  -0.9637950143  -8.2386000000  54.0000000000
-0.7067831771  2.0255812561  1.8142023799  7.8246000000  19.5000000000
-3.0733809222  1.9424590317  0.6160977011  -6.0858000000  52.5000000000
-2.0954952775  4.2529844794  0.0000000000  -3.9330000000  67.5000000000
1.2965022941  2.9665875190  -2.2646945255  2.4426000000  2.5000000000
-0.3807361893  0.9087232224  0.7349793870  4.5126000000  4.5000000000
-1.1376830085  4.2866634112  1.5475210696  -0.4140000000  73.0000000000
4.1413626254  4.3311633881  2.5107264188  0.7038000000  53.5000000000
-2.9390519325  5.9650538881  1.4426801793  -6.4998000000  15.5000000000
2.5818175075  2.3896164933  0.7632243529  -1.6146000000  70.5000000000
-5.0396426725  3.8726445268  2.7776782648  0.0414000000  9.5000000000
-0.3509925185  2.8608052765  3.3112984495  2.8566000000  47.0000000000
-4.6202739681  3.2251842123  3.8147707017  6.2100000000  23.0000000000
4.4443057169  4.5082113318  4.8745339595  4.2642000000  64.0000000000
0.8219604674  6.6994842291  -4.2753007022  2.8980000000  33.5000000000
-0.4553471496  1.3719407951  -1.7668087808  0.5796000000  50.0000000000
-4.4051261630  2.6909745037  -3.4948221912  2.1114000000  28.0000000000
-0.9313797990  0.4755445859  -0.1283042354  -0.4554000000  50.0000000000
0.2240673033  1.6212081124  -2.0638396497  3.9330000000  68.0000000000
-0.7834712429  1.7206554867  0.8262713826  0.4968000000  73.5000000000
3.4645364813  3.7358168118  4.4436890169  0.2898000000  16.5000000000
0.1627447495  3.5524473494  -1.8201258160  1.4904000000  20.0000000000
0.2135080927  1.2599724644  -0.4679022264  5.6718000000  8.5000000000
2.1820934014  4.4287426787  -6.2259162766  6.8724000000  37.5000000000
-2.0465782540  1.0058724033  0.1044700835  -6.1272000000  45.0000000000
-1.8990219847  2.2456506303  -0.0448824960  3.2706000000  16.0000000000
0.0000000000  6.1153225439  -4.2777563259  0.6624000000  35.0000000000
-0.0451201078  0.0550377267  0.0514185231  -12.8754000000  75.5000000000
-1.2736576115  0.0765832925  -4.2921584463  -11.4264000000  79.5000000000
3.6163229745  2.6921530387  -7.3802176831  -4.8024000000  47.5000000000
-4.2094004466  3.8960355273  6.5894839146  -5.1336000000  116.0000000000
0.0204309341  -1.3387515168  6.6266914304  -9.0252000000  89.5000000000
5.7282715055  -1.6203289888  0.4550996451  18.9198000000  56.0000000000
0.0770033641  -0.0180203782  -2.6767319922  5.4648000000  25.5000000000
-0.1137712325  0.1796186782  -7.1964597822  5.2578000000  133.5000000000
2.0293795244  0.4707075272  -0.6914319705  19.5408000000  147.0000000000
2.0288483836  0.0289664705  -7.2274810819  10.1016000000  56.0000000000
