# Spherical test vectors: range  azimuth(rad)  elevation(rad)
# 70 points total
0.0000000000  0.0000000000  0.0000000000
1.0000000000  0.0000000000  0.0000000000
1.0000000000  1.5707963268  0.0000000000
1.0000000000  0.0000000000  1.5707963268
1.0000000000  -1.5707963268  0.0000000000
1.0000000000  0.0000000000  -1.5707963268
1.0000000000  0.7853981634  0.7853981634
5.0000000000  0.0000000000  0.0000000000
0.0010000000  0.1000000000  0.1000000000
8.0000000000  1.2217000000  1.2217000000
3.3090508914  -0.9235117770  0.8872069108
7.6303572981  -0.0117847378  0.3012666431
5.9899545636  -1.1376750875  -0.4131837661
4.9899386315  1.0001334704  -1.0664015269
1.6701398033  -0.5893969930  -0.4618457951
1.6699589025  0.3971069496  -0.4271470710
0.9356270913  -0.4600651567  0.5610197362
6.9963210933  0.0490342029  0.3361079255
5.0083625881  0.1141318965  0.9461156152
5.8105443335  -0.7700266234  -0.0678900519
0.6543837072  1.1473830795  -0.9294834195
7.7743238912  0.6722595406  0.5210423131
6.7433198060  1.0738717138  0.6372021878
2.0925433301  0.9647211480  0.1497247045
1.8636872541  0.2392088082  0.6620812075
1.8755338239  1.0308075059  -0.0151598398
2.7818168222  -1.0054774205  0.0555453953
4.4356732372  -0.7428354740  -0.1770462757
3.7395876398  -1.1111916423  -1.1595909057
2.6842185515  -0.4267878698  -0.9580780873
5.0888967104  -0.2720059104  -1.1449059277
1.5462039549  -0.5586857758  0.3333051989
2.6910848640  0.8032372299  -0.4536025958
3.2477138247  -0.3500089216  0.0209416268
3.9205248816  -0.5352646190  0.9958479224
6.3888197104  0.1043236096  -0.6125793673
1.9975533662  -0.8773657487  -0.2189703659
4.3567582881  0.7383881028  0.6244136519
4.9431092665  -1.0395429572  -0.6626545624
0.8483780954  1.1896595409  -1.0336072883
5.0565863893  0.6652028693  -0.5137213000
1.7789309277  -0.7361581037  -0.8277719067
0.9878869474  -1.2082072590  1.0499232437
7.6166415294  0.7707984543  0.7528613354
7.7422402481  0.5054352340  0.3259587387
6.5629801109  0.5595561144  0.9076268061
2.7846032688  0.6628219651  0.7419923527
1.2325408550  -1.0407792980  -0.7658347181
5.6317476988  -0.3458248389  0.9591786569
3.8011437030  -0.9385855400  0.0961288339
6.7260628007  -1.8115253527  0.1322224054
4.8859032084  0.3414646352  -1.4396080317
8.2566967886  -1.3052116385  0.0781528977
0.3241494124  1.9863810312  0.4402707757
8.0824191340  2.0611522321  0.9445454782
5.6605180219  -1.7493809671  1.0521786040
2.9832487621  0.9100232691  -0.7771287685
0.4764902479  -2.5435488851  1.4711246276
9.9063677207  -0.5550362398  -0.1060660280
0.0781890731  -2.5329702672  -0.7411294477
7.7002323516  -2.2367448612  0.1551268747
7.4702033389  -1.8083247626  -0.3853672728
3.7806149740  -0.1466737073  -0.9307648454
4.9465330479  -2.6539305358  1.3052139346
9.2901944370  -1.6647690190  1.3797165654
3.9605859030  -3.1004189234  1.0602673911
9.7398234053  2.5047552990  -0.2111485308
5.2489030066  0.3281985835  0.6789388621
0.9451948020  -2.0888661441  1.1037797000
8.1349510437  2.6947211011  -1.3224638409
